Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"calendar.<listcomp>",1,0.00,0.00,0.01,0.01,"calendar.py",
"ntpath.isabs",13,0.00,0.00,0.01,0.00,"ntpath.py",
"list.pop",15,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"nt._getfullpathname",11,0.00,0.00,0.00,0.00,"nt",
"<string>._Version",1,0.00,0.00,0.01,0.01,"(string)",
"<string> (module)",1,0.00,0.00,0.38,0.01,"(string)",
"zipfile.ZipFile",1,0.00,0.00,0.01,0.01,"zipfile.py",
".normalize_path",10,0.00,0.00,0.02,0.00,"__init__.py",
"_weakrefset.WeakSet.add",8,0.00,0.00,0.00,0.00,"_weakrefset.py",
"<string> (module)",1,0.00,0.00,0.39,0.01,"(string)",
"quopri (module)",1,0.00,0.00,0.01,0.01,"quopri.py",
"<string> (module)",1,0.00,0.00,0.36,0.01,"(string)",
"datetime.datetime",1,0.00,0.00,0.01,0.01,"datetime.py",
"<string>.ParseResult",1,0.00,0.00,0.01,0.01,"(string)",
"threading._Condition.__init__",2,0.00,0.00,0.01,0.01,"threading.py",
"list.index",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<string> (module)",1,0.00,0.00,0.35,0.01,"(string)",
"multiprocessing.process.Process",1,0.00,0.00,0.01,0.01,"process.py",
"tempfile.SpooledTemporaryFile",1,0.00,0.00,0.01,0.01,"tempfile.py",
"textwrap.TextWrapper",1,0.00,0.00,0.75,0.01,"textwrap.py",
"ntpath._get_empty",48,0.00,0.00,0.00,0.00,"ntpath.py",
"collections.<genexpr>",26,0.00,0.00,0.00,0.00,"collections.py",
".Distribution",1,0.00,0.00,0.01,0.01,"__init__.py",
"re.escape",1,0.00,0.00,0.01,0.01,"re.py",
"<string>.manifest_mod",1,0.00,0.00,0.01,0.01,"(string)",
"Distribution.__getattr__",12,0.00,0.00,0.00,0.00,"__init__.py",
"<string>.SplitResult",1,0.00,0.00,0.01,0.01,"(string)",
"email.base64mime (module)",1,0.00,0.00,0.01,0.01,"base64mime.py",
"email.iterators (module)",1,0.00,0.00,0.01,0.01,"iterators.py",
"uu (module)",1,0.00,0.00,0.09,0.01,"uu.py",
"textwrap (module)",1,0.00,0.00,1.11,0.01,"textwrap.py",
"threading.Thread",1,0.00,0.00,0.01,0.01,"threading.py",
"collections.<genexpr>",26,0.00,0.00,0.00,0.00,"collections.py",
"sysconfig.get_platform",1,0.00,0.00,0.01,0.01,"sysconfig.py",
"Random.seed",1,0.00,0.00,0.01,0.01,"Unidentifiable Method",
"datetime.date",1,0.00,0.00,0.01,0.01,"datetime.py",
"ntpath._get_colon",61,0.00,0.00,0.00,0.00,"ntpath.py",
"email.encoders (module)",1,0.00,0.00,0.01,0.01,"encoders.py",
"version.<genexpr>",24,0.00,0.00,0.00,0.00,"version.py",
"racing-game-fixed.GUI.setCaption",1,0.00,0.00,0.07,0.01,"racing-game-fixed.py",
".MarkerEvaluation",1,0.00,0.00,0.01,0.01,"__init__.py",
"email.charset.Charset.__init__",2,0.00,0.00,0.01,0.00,"charset.py",
"._get_mro",16,0.00,0.00,0.00,0.00,"__init__.py",
"ntpath._get_bothseps",46,0.00,0.00,0.00,0.00,"ntpath.py",
"version.Version",1,0.00,0.00,3.04,0.01,"version.py",
"str.isalnum",169,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"tempfile.TemporaryDirectory",1,0.00,0.00,0.01,0.01,"tempfile.py",
"<string>.DefragResult",1,0.00,0.00,0.01,0.01,"(string)",
"random.Random.seed",1,0.00,0.00,0.03,0.01,"random.py",
"datetime.time",1,0.00,0.00,0.01,0.01,"datetime.py",
"specifiers._require_version_compare",7,0.00,0.00,0.01,0.00,"specifiers.py",
"_compat (module)",1,0.00,0.00,0.01,0.01,"_compat.py",
".fixup_namespace_packages",4,0.00,0.00,0.00,0.00,"__init__.py",
"dict.update",17,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_structures (module)",1,0.00,0.00,0.11,0.01,"_structures.py",
"threading.Barrier",1,0.00,0.00,0.01,0.01,"threading.py",
"property.setter",9,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"__about__ (module)",1,0.00,0.00,0.01,0.01,"__about__.py",
"warnings.filterwarnings",1,0.00,0.00,0.06,0.01,"warnings.py",
"NullProvider._fn",5,0.00,0.00,0.01,0.00,"__init__.py",
"racing-game-fixed.Game.quit",1,0.18,0.00,238.19,0.01,"racing-game-fixed.py",
"dict.items",68,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_struct.calcsize",5,0.00,0.00,0.00,0.00,"_struct",
".<listcomp>",4,0.00,0.00,0.01,0.00,"__init__.py",
"random.Random",1,0.00,0.00,0.01,0.01,"random.py",
"_compat_pickle.<genexpr>",52,0.00,0.00,0.00,0.00,"_compat_pickle.py",
"functools.wraps",8,0.00,0.00,0.00,0.00,"functools.py",
"hasattr",9,0.00,0.00,0.00,0.00,"builtins",
"re.sub",8,0.00,0.00,0.03,0.00,"re.py",
"sorted",1,0.00,0.00,0.01,0.01,"builtins",
"_weakrefset.WeakSet.__contains__",12,0.00,0.00,0.00,0.00,"_weakrefset.py",
"WorkingSet.__iter__",5,0.00,0.00,0.00,0.00,"__init__.py",
"pygame.sprite.AbstractGroup",1,0.00,0.00,0.01,0.01,"sprite.py",
"tarfile._Stream",1,0.00,0.00,0.01,0.01,"tarfile.py",
"._declare_state",4,0.00,0.00,0.00,0.00,"__init__.py",
"socket.SocketIO",1,0.00,0.00,0.01,0.01,"socket.py",
"base64.<listcomp>",1,0.00,0.00,0.01,0.01,"base64.py",
"calendar.Calendar",1,0.00,0.00,0.01,0.01,"calendar.py",
"divmod",45,0.00,0.00,0.00,0.00,"builtins",
"queue.Queue",1,0.00,0.00,0.01,0.01,"queue.py",
".ZipProvider",1,0.00,0.00,0.01,0.01,"__init__.py",
"subprocess.Popen",1,0.00,0.00,0.01,0.01,"subprocess.py",
"pygame.compat.geterror",3,0.00,0.00,0.00,0.00,"compat.py",
"urllib.parse._NetlocResultMixinBase",1,0.00,0.00,0.01,0.01,"parse.py",
"version._parse_letter_version",18,0.00,0.00,0.00,0.00,"version.py",
"calendar.<listcomp>",1,0.00,0.00,0.01,0.01,"calendar.py",
"setattr",32,0.00,0.00,0.00,0.00,"builtins",
"socket.socket",1,0.00,0.00,0.01,0.01,"socket.py",
"specifiers.SpecifierSet",1,0.00,0.00,0.01,0.01,"specifiers.py",
".EntryPoint",1,0.00,0.00,0.45,0.01,"__init__.py",
".NullProvider",1,0.00,0.00,0.01,0.01,"__init__.py",
"tempfile._TemporaryFileWrapper",1,0.00,0.00,0.01,0.01,"tempfile.py",
"zipfile.ZipFile.close",2,0.00,0.00,0.01,0.00,"zipfile.py",
"base64.<listcomp>",1,0.00,0.00,0.01,0.01,"base64.py",
"_weakrefset._IterationGuard.__enter__",7,0.00,0.00,0.00,0.00,"_weakrefset.py",
"pkgutil.simplegeneric",1,0.00,0.00,0.01,0.01,"pkgutil.py",
".WorkingSet",1,0.00,0.00,0.01,0.01,"__init__.py",
"dict.copy",1,0.00,0.00,0.01,0.01,"Unidentifiable Method",
"<string>.__new__",6,0.00,0.00,0.00,0.00,"(string)",
"pygame.sprite.DirtySprite",1,0.00,0.00,0.01,0.01,"sprite.py",
"racing-game-fixed.Camera.__init__",1,0.00,0.00,0.01,0.01,"racing-game-fixed.py",
"tarfile.ExFileObject",1,0.00,0.00,0.01,0.01,"tarfile.py",
"_thread.lock.acquire",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"str.lstrip",15,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"issubclass",8,0.00,0.00,0.03,0.00,"builtins",
"email.feedparser.FeedParser",1,0.00,0.00,0.00,0.00,"feedparser.py",
"_abcoll.update",1,0.00,0.00,0.53,0.00,"_abcoll.py",
"set.add",36,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_weakrefset.WeakSet._commit_removals",7,0.00,0.00,0.00,0.00,"_weakrefset.py",
"pygame.sprite.LayeredUpdates",1,0.00,0.00,0.00,0.00,"sprite.py",
"racing-game-fixed.GameObject",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"pygame.sprite.GroupSingle",1,0.00,0.00,0.00,0.00,"sprite.py",
"urllib.parse._fix_result_transcoding",1,0.00,0.00,0.00,0.00,"parse.py",
".MemoizedZipManifests",1,0.01,0.00,7.44,0.00,"__init__.py",
"specifiers._IndividualSpecifier",1,0.00,0.00,0.01,0.00,"specifiers.py",
"pkgutil.ImpImporter.__init__",10,0.00,0.00,0.00,0.00,"pkgutil.py",
"version.LegacyVersion",1,0.00,0.00,0.00,0.00,"version.py",
"datetime._days_before_year",3,0.00,0.00,0.00,0.00,"datetime.py",
"email.feedparser.BufferedSubFile",1,0.00,0.00,0.00,0.00,"feedparser.py",
"pygame.sprite.Sprite",1,0.00,0.00,0.00,0.00,"sprite.py",
".DistInfoDistribution",1,0.00,0.00,0.22,0.00,"__init__.py",
".ResourceManager",1,0.00,0.00,0.00,0.00,"__init__.py",
"FileMetadata.__init__",6,0.00,0.00,0.00,0.00,"__init__.py",
"NullProvider.__init__",2,0.00,0.00,0.02,0.00,"__init__.py",
"frozenset.__contains__",26,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"specifiers.LegacySpecifier",1,0.00,0.00,0.84,0.00,"specifiers.py",
"email._parseaddr.AddrlistClass",1,0.00,0.00,0.00,0.00,"_parseaddr.py",
".DistributionNotFound",1,0.00,0.00,0.00,0.00,"__init__.py",
"plistlib.PlistParser",1,0.00,0.00,0.00,0.00,"plistlib.py",
"platform._popen",1,0.00,0.00,0.00,0.00,"platform.py",
"sys.exc_info",7,0.00,0.00,0.00,0.00,"sys",
"racing-game-fixed.Game",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"datetime.__new__",2,0.00,0.00,0.01,0.00,"datetime.py",
"ntpath.dirname",6,0.00,0.00,0.01,0.00,"ntpath.py",
"zipfile._EndRecData64",1,0.00,0.00,0.02,0.00,"zipfile.py",
"calendar.TextCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"pkgutil.ImpLoader",1,0.00,0.00,0.00,0.00,"pkgutil.py",
"racing-game-fixed.CollisionSolver",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"__future__._Feature.__init__",8,0.00,0.00,0.00,0.00,"__future__.py",
"email.header._Accumulator",1,0.00,0.00,0.00,0.00,"header.py",
"email.charset.Charset",1,0.00,0.00,0.00,0.00,"charset.py",
"math.exp",1,0.00,0.00,0.00,0.00,"math",
".VersionConflict",1,0.00,0.00,0.00,0.00,"__init__.py",
"_weakrefset._IterationGuard.__init__",7,0.00,0.00,0.00,0.00,"_weakrefset.py",
"calendar.HTMLCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"threading._Verbose.__init__",4,0.00,0.00,0.00,0.00,"threading.py",
"zipfile.ZipInfo",1,0.00,0.00,0.00,0.00,"zipfile.py",
"urllib.parse._NetlocResultMixinStr",1,0.00,0.00,0.00,0.00,"parse.py",
"email (module)",1,0.00,0.00,0.00,0.00,"__init__.py",
"Constants (module)",1,0.00,0.00,0.00,0.00,"Constants.py",
"string.Formatter",1,0.00,0.00,0.00,0.00,"string.py",
"ntpath._get_special",15,0.00,0.00,0.00,0.00,"ntpath.py",
"sys._getframe",5,0.00,0.00,0.00,0.00,"sys",
".Requirement",1,0.00,0.00,0.00,0.00,"__init__.py",
"datetime._check_time_fields",4,0.00,0.00,0.00,0.00,"datetime.py",
"email.header._ValueFormatter",1,0.00,0.00,0.00,0.00,"header.py",
"pygame.threads.WorkerQueue",1,0.00,0.00,0.00,0.00,"__init__.py",
"queue.PriorityQueue",1,0.00,0.00,0.00,0.00,"queue.py",
"urllib.parse._NetlocResultMixinBytes",1,0.00,0.00,0.00,0.00,"parse.py",
"email.quoprimime._body_accumulator",1,0.00,0.00,0.00,0.00,"quoprimime.py",
"ZipProvider._zipinfo_name",3,0.00,0.00,0.00,0.00,"__init__.py",
"array.array.tolist",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"threading._Condition",1,0.00,0.00,0.00,0.00,"threading.py",
"threading._RLock",1,0.00,0.00,0.00,0.00,"threading.py",
"._SetuptoolsVersionMixin",1,0.00,0.00,0.00,0.00,"__init__.py",
"pygame.sprite.LayeredDirty",1,0.00,0.00,0.00,0.00,"sprite.py",
"sys.getwindowsversion",2,0.00,0.00,0.00,0.00,"sys",
"email.header.Header",1,0.00,0.00,0.00,0.00,"header.py",
"string.Template",1,0.00,0.00,0.00,0.00,"string.py",
"pygame.cursors (module)",1,0.00,0.00,0.00,0.00,"cursors.py",
"tarfile._BZ2Proxy",1,0.00,0.00,0.00,0.00,"tarfile.py",
"tarfile._LowLevelFile",1,0.00,0.00,0.00,0.00,"tarfile.py",
"set.union",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"functools.lru_cache",1,0.00,0.00,0.00,0.00,"functools.py",
"subprocess.CalledProcessError",1,0.00,0.00,0.00,0.00,"subprocess.py",
"plistlib.Data",1,0.00,0.00,0.00,0.00,"plistlib.py",
"tarfile._FileInFile",1,0.00,0.00,0.00,0.00,"tarfile.py",
".ContextualVersionConflict",1,0.00,0.00,0.00,0.00,"__init__.py",
"racing-game-fixed.AnimatedTexture",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"pygame.MissingModule",1,0.00,0.00,0.00,0.00,"__init__.py",
"racing-game-fixed.Texture",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"random.SystemRandom",1,0.00,0.00,0.00,0.00,"random.py",
"racing-game-fixed.Car",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"plistlib.DumbXMLWriter",1,0.00,0.00,0.00,0.00,"plistlib.py",
"plistlib.PlistWriter",1,0.00,0.00,0.00,0.00,"plistlib.py",
"multiprocessing.util.Finalize",1,0.00,0.00,0.00,0.00,"util.py",
"datetime._days_in_month",4,0.00,0.00,0.00,0.00,"datetime.py",
"datetime.tzinfo",1,0.00,0.00,0.00,0.00,"datetime.py",
"abc.abstractmethod",6,0.00,0.00,0.00,0.00,"abc.py",
"warnings.catch_warnings",1,0.00,0.00,0.00,0.00,"warnings.py",
"plistlib.Plist",1,0.00,0.00,0.00,0.00,"plistlib.py",
".IResourceProvider",1,0.00,0.00,0.00,0.00,"__init__.py",
"threading._Event",1,0.00,0.00,0.00,0.00,"threading.py",
"email._parseaddr.AddressList",1,0.00,0.00,0.00,0.00,"_parseaddr.py",
"racing-game-fixed.GUI",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"threading.Thread._set_ident",1,0.00,0.00,0.00,0.00,"threading.py",
".IMetadataProvider",1,0.00,0.00,0.00,0.00,"__init__.py",
"pygame.sprite.OrderedUpdates",1,0.00,0.00,0.00,0.00,"sprite.py",
"_structures.Infinity.__neg__",12,0.00,0.00,0.00,0.00,"_structures.py",
"datetime.timedelta.__neg__",1,0.00,0.00,0.02,0.00,"datetime.py",
"threading._Semaphore",1,0.00,0.00,0.00,0.00,"threading.py",
"datetime._create",3,0.00,0.00,0.00,0.00,"datetime.py",
"version.<genexpr>",6,0.00,0.00,0.00,0.00,"version.py",
"_structures.Infinity",1,0.00,0.00,0.00,0.00,"_structures.py",
"urllib.parse.Quoter",1,0.00,0.00,0.00,0.00,"parse.py",
"racing-game-fixed.PlayerCar",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"subprocess.STARTUPINFO",1,0.00,0.00,0.00,0.00,"subprocess.py",
"<string>.__new__",1,0.00,0.00,0.00,0.00,"(string)",
"WorkingSet._added_new",4,0.00,0.00,0.00,0.00,"__init__.py",
"genericpath.exists",1,0.00,0.00,0.08,0.00,"genericpath.py",
"email.parser.Parser",1,0.00,0.00,0.00,0.00,"parser.py",
"pkgutil.ImpImporter",1,0.00,0.00,0.00,0.00,"pkgutil.py",
"array.array.tobytes",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_compat_pickle.<genexpr>",11,0.00,0.00,0.00,0.00,"_compat_pickle.py",
"tarfile._StreamProxy",1,0.00,0.00,0.00,0.00,"tarfile.py",
"__future__._Feature",1,0.00,0.00,0.00,0.00,"__future__.py",
"globals",14,0.00,0.00,0.00,0.00,"builtins",
"zipfile.PyZipFile",1,0.00,0.00,0.00,0.00,"zipfile.py",
"_compat.__new__",1,0.00,0.00,0.04,0.00,"_compat.py",
"math.log",2,0.00,0.00,0.00,0.00,"math",
"racing-game-fixed.Camera",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"urllib.parse._ResultMixinStr",1,0.00,0.00,0.00,0.00,"parse.py",
"type.fromkeys",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"math.sqrt",1,0.00,0.00,0.00,0.00,"math",
"queue.LifoQueue",1,0.00,0.00,0.00,0.00,"queue.py",
"tarfile.TarIter",1,0.00,0.00,0.00,0.00,"tarfile.py",
"string._multimap",1,0.00,0.00,0.00,0.00,"string.py",
"version.<lambda>",10,0.00,0.00,0.00,0.00,"version.py",
"urllib.parse.DefragResult",1,0.00,0.00,0.00,0.00,"parse.py",
"email.parser.BytesParser",1,0.00,0.00,0.00,0.00,"parser.py",
"_abcoll.__subclasshook__",7,0.00,0.00,0.00,0.00,"_abcoll.py",
"pygame.threads.FuncResult",1,0.00,0.00,0.00,0.00,"__init__.py",
"version._parse_local_version",6,0.00,0.00,0.00,0.00,"version.py",
"threading._Verbose",1,0.00,0.00,0.00,0.00,"threading.py",
".DefaultProvider",1,0.00,0.00,0.00,0.00,"__init__.py",
"email.feedparser.BytesFeedParser",1,0.00,0.00,0.00,0.00,"feedparser.py",
".FileMetadata",1,0.00,0.00,0.00,0.00,"__init__.py",
".ContextualZipFile",1,0.00,0.00,0.00,0.00,"__init__.py",
"warnings.WarningMessage",1,0.00,0.00,0.00,0.00,"warnings.py",
"_structures.NegativeInfinity",1,0.00,0.00,0.00,0.00,"_structures.py",
"weakref.update",1,0.00,0.00,0.00,0.00,"weakref.py",
"ABCMeta.__subclasses__",7,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"multiprocessing.util.ForkAwareLocal",1,0.00,0.00,0.00,0.00,"util.py",
"pygame.time.Clock",1,0.00,0.00,0.00,0.00,"pygame.time",
"version._BaseVersion",1,0.00,0.00,0.00,0.00,"version.py",
".register_loader_type",3,0.00,0.00,0.00,0.00,"__init__.py",
"calendar.LocaleHTMLCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"email.parser.HeaderParser",1,0.00,0.00,0.00,0.00,"parser.py",
"urllib.parse._ResultMixinBytes",1,0.00,0.00,0.00,0.00,"parse.py",
"pygame.Surface.get_size",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
".EmptyProvider",1,0.00,0.00,0.00,0.00,"__init__.py",
"string._TemplateMetaclass",1,0.00,0.00,0.00,0.00,"string.py",
"copyreg.constructor",3,0.00,0.00,0.00,0.00,"copyreg.py",
"calendar.IllegalMonthError",1,0.00,0.00,0.00,0.00,"calendar.py",
"DefaultProvider.get_resource_stream",1,0.00,0.00,0.09,0.00,"__init__.py",
"racing-game-fixed.Explosion",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"_thread.lock.release",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_hashlib.openssl_md5",1,0.00,0.00,0.00,0.00,"_hashlib",
"calendar.LocaleTextCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"racing-game-fixed.Sprite",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"shutil.Error",1,0.00,0.00,0.00,0.00,"shutil.py",
"str.isdigit",26,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"racing-game-fixed.Road",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"racing-game-fixed.NormalCar",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"pkgutil.register",1,0.00,0.00,0.00,0.00,"pkgutil.py",
".ZipManifests",1,0.00,0.00,0.00,0.00,"__init__.py",
"threading._Timer",1,0.00,0.00,0.00,0.00,"threading.py",
"tarfile.TarError",1,0.00,0.00,0.00,0.00,"tarfile.py",
"threading._Condition._is_owned",1,0.00,0.00,0.00,0.00,"threading.py",
"threading._DummyThread",1,0.00,0.00,0.00,0.00,"threading.py",
"property.setter",1,0.00,0.00,0.00,0.00,"Unknown",
"pygame.sprite.collide_rect_ratio",1,0.00,0.00,0.00,0.00,"sprite.py",
"calendar._localized_day.__init__",2,0.00,0.00,0.00,0.00,"calendar.py",
"locals",1,0.00,0.00,0.00,0.00,"builtins",
"pygame.sprite.collide_circle_ratio",1,0.00,0.00,0.00,0.00,"sprite.py",
"type.from_bytes",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_io.BufferedReader.tell",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"subprocess.pywintypes",1,0.00,0.00,0.00,0.00,"subprocess.py",
"calendar.different_locale",1,0.00,0.00,0.00,0.00,"calendar.py",
"types._C",1,0.00,0.00,0.00,0.00,"types.py",
"os.check_str",1,0.00,0.00,0.00,0.00,"os.py",
"copy.Error",1,0.00,0.00,0.00,0.00,"copy.py",
"email.errors.MessageDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"warnings._processoptions",1,0.00,0.00,0.00,0.00,"warnings.py",
"plistlib._InternalDict",1,0.00,0.00,0.00,0.00,"plistlib.py",
"multiprocessing.process.AuthenticationString",1,0.00,0.00,0.00,0.00,"process.py",
"copy._EmptyClass",1,0.00,0.00,0.00,0.00,"copy.py",
"plistlib.Dict",1,0.00,0.00,0.00,0.00,"plistlib.py",
"calendar._localized_month.__init__",2,0.00,0.00,0.00,0.00,"calendar.py",
"threading._MainThread",1,0.00,0.00,0.00,0.00,"threading.py",
"pygame.sprite.Group",1,0.00,0.00,0.00,0.00,"sprite.py",
"pygame.sprite.RenderUpdates",1,0.00,0.00,0.00,0.00,"sprite.py",
"threading._BoundedSemaphore",1,0.00,0.00,0.00,0.00,"threading.py",
"urllib.parse.ParseResult",1,0.00,0.00,0.00,0.00,"parse.py",
"urllib.parse.SplitResult",1,0.00,0.00,0.00,0.00,"parse.py",
"sre_parse.Tokenizer.tell",3,0.00,0.00,0.00,0.00,"sre_parse.py",
"types._g",1,0.00,0.00,0.00,0.00,"types.py",
"warnings._OptionError",1,0.00,0.00,0.00,0.00,"warnings.py",
"urllib.parse.SplitResultBytes",1,0.00,0.00,0.00,0.00,"parse.py",
"shutil.SpecialFileError",1,0.00,0.00,0.00,0.00,"shutil.py",
"multiprocessing.process._MainProcess",1,0.00,0.00,0.00,0.00,"process.py",
"calendar.IllegalWeekdayError",1,0.00,0.00,0.00,0.00,"calendar.py",
"queue.Empty",1,0.00,0.00,0.00,0.00,"queue.py",
"multiprocessing.util.ForkAwareThreadLock",1,0.00,0.00,0.00,0.00,"util.py",
"uu.Error",1,0.00,0.00,0.00,0.00,"uu.py",
"tarfile.StreamError",1,0.00,0.00,0.00,0.00,"tarfile.py",
"urllib.parse.ParseResultBytes",1,0.00,0.00,0.00,0.00,"parse.py",
"urllib.parse.DefragResultBytes",1,0.00,0.00,0.00,0.00,"parse.py",
"calendar.Calendar.setfirstweekday",1,0.00,0.00,0.00,0.00,"calendar.py",
"email.errors.MessageError",1,0.00,0.00,0.00,0.00,"errors.py",
"datetime._check_tzinfo_arg",4,0.00,0.00,0.00,0.00,"datetime.py",
"zipfile.ZipFile.__del__",1,0.00,0.00,0.00,0.00,"zipfile.py",
"pickle._Stop",1,0.00,0.00,0.00,0.00,"pickle.py",
"shutil.ExecError",1,0.00,0.00,0.00,0.00,"shutil.py",
".RequirementParseError",1,0.00,0.00,0.00,0.00,"__init__.py",
"tarfile.TruncatedHeaderError",1,0.00,0.00,0.00,0.00,"tarfile.py",
"pickle.PickleError",1,0.00,0.00,0.00,0.00,"pickle.py",
"pygame.version (module)",1,0.00,0.00,0.00,0.00,"version.py",
"sre_parse.isdigit",2,0.00,0.00,0.00,0.00,"sre_parse.py",
".ResolutionError",1,0.00,0.00,0.00,0.00,"__init__.py",
"racing-game-fixed.Lane",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"zipfile.LargeZipFile",1,0.00,0.00,0.00,0.00,"zipfile.py",
".EggProvider",1,0.00,0.00,0.00,0.00,"__init__.py",
"queue.Full",1,0.00,0.00,0.00,0.00,"queue.py",
"tarfile.ExtractError",1,0.00,0.00,0.00,0.00,"tarfile.py",
"shutil.ReadError",1,0.00,0.00,0.00,0.00,"shutil.py",
"zipfile.BadZipFile",1,0.00,0.00,0.00,0.00,"zipfile.py",
"email.errors.HeaderParseError",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.MultipartInvariantViolationDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"multiprocessing.BufferTooShort",1,0.00,0.00,0.00,0.00,"__init__.py",
"email.errors.MultipartConversionError",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.NoBoundaryInMultipartDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.FirstHeaderLineIsContinuationDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"shutil.RegistryError",1,0.00,0.00,0.00,0.00,"shutil.py",
"email.errors.MessageParseError",1,0.00,0.00,0.00,0.00,"errors.py",
"pickle.PicklingError",1,0.00,0.00,0.00,0.00,"pickle.py",
"email.errors.BoundaryError",1,0.00,0.00,0.00,0.00,"errors.py",
"ResourceManager.__init__",1,0.00,0.00,0.00,0.00,"__init__.py",
"email.errors.MalformedHeaderDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"tarfile.SubsequentHeaderError",1,0.00,0.00,0.00,0.00,"tarfile.py",
"tarfile.ReadError",1,0.00,0.00,0.00,0.00,"tarfile.py",
"multiprocessing.TimeoutError",1,0.00,0.00,0.00,0.00,"__init__.py",
"callable",6,0.00,0.00,0.00,0.00,"builtins",
"multiprocessing.AuthenticationError",1,0.00,0.00,0.00,0.00,"__init__.py",
"atexit.register",1,0.00,0.00,0.00,0.00,"atexit",
"email.errors.CharsetError",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.MisplacedEnvelopeHeaderDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"tarfile.CompressionError",1,0.00,0.00,0.00,0.00,"tarfile.py",
".EggMetadata",1,0.00,0.00,0.00,0.00,"__init__.py",
"specifiers.InvalidSpecifier",1,0.00,0.00,0.00,0.00,"specifiers.py",
"multiprocessing.ProcessError",1,0.00,0.00,0.00,0.00,"__init__.py",
"email.errors.StartBoundaryNotFoundDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"pickle.UnpicklingError",1,0.00,0.00,0.00,0.00,"pickle.py",
"_compat.metaclass",1,0.00,0.00,0.00,0.00,"_compat.py",
"tarfile.EmptyHeaderError",1,0.00,0.00,0.00,0.00,"tarfile.py",
"tarfile.InvalidHeaderError",1,0.00,0.00,0.00,0.00,"tarfile.py",
"str.upper",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"sre_parse.Tokenizer.seek",1,0.00,0.00,0.00,0.00,"sre_parse.py",
".register_finder",3,0.00,0.00,0.00,0.00,"__init__.py",
"tarfile.HeaderError",1,0.00,0.00,0.00,0.00,"tarfile.py",
".ExtractionError",1,0.00,0.00,0.00,0.00,"__init__.py",
"_weakref.proxy",1,0.00,0.00,0.00,0.00,"_weakref",
"threading._Verbose._note",1,0.00,0.00,0.00,0.00,"threading.py",
".PEP440Warning",1,0.00,0.00,0.00,0.00,"__init__.py",
"list.insert",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
".register_namespace_handler",3,0.00,0.00,0.00,0.00,"__init__.py",
