Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Root","all","all",26,0.00,0.00,0.00,0.00,"builtins",
"Caller","all","collections.namedtuple",26,0.00,0.00,0.00,0.00,"collections.py",
"Callee","all","collections.<genexpr>",195,0.00,0.00,0.00,0.00,"collections.py",
"Root","array.array.tobytes","array.array.tobytes",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Caller","array.array.tobytes","sre_compile._optimize_unicode",3,0.00,0.00,0.00,0.00,"sre_compile.py",
"Root","array.array.tolist","array.array.tolist",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Caller","array.array.tolist","sre_compile._optimize_unicode",3,0.00,0.00,0.00,0.00,"sre_compile.py",
"Root","atexit.register","atexit.register",1,0.00,0.00,0.00,0.00,"atexit",
"Caller","atexit.register","multiprocessing.util (module)",1,0.00,0.00,0.00,0.00,"util.py",
"Root","base64 (module)","base64 (module)",1,0.00,0.00,0.16,0.13,"base64.py",
"Caller","base64 (module)","email.message (module)",1,0.00,0.00,0.16,0.13,"message.py",
"Callee","base64 (module)","base64.<listcomp>",1,0.00,0.00,0.01,0.01,"base64.py",
"Callee","base64 (module)","base64.<listcomp>",1,0.00,0.00,0.01,0.01,"base64.py",
"Callee","base64 (module)","dict.items",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","base64 (module)","sorted",1,0.00,0.00,0.01,0.01,"builtins",
"Root","base64.<listcomp>","base64.<listcomp>",1,0.00,0.00,0.01,0.01,"base64.py",
"Caller","base64.<listcomp>","base64 (module)",1,0.00,0.00,0.01,0.01,"base64.py",
"Root","base64.<listcomp>","base64.<listcomp>",1,0.00,0.00,0.01,0.01,"base64.py",
"Caller","base64.<listcomp>","base64 (module)",1,0.00,0.00,0.01,0.01,"base64.py",
"Root","bytes.decode","bytes.decode",120,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Caller","bytes.decode","zipfile.ZipFile._RealGetContents",120,0.00,0.00,0.00,0.00,"zipfile.py",
"Callee","bytes.decode","encodings.cp437.Codec.decode",120,0.00,0.00,0.00,0.00,"cp437.py",
"Root","calendar (module)","calendar (module)",1,0.00,0.00,1.08,0.19,"calendar.py",
"Caller","calendar (module)","email._parseaddr (module)",1,0.00,0.00,1.08,0.19,"_parseaddr.py",
"Callee","calendar (module)","__build_class__",10,0.00,0.00,0.08,0.07,"builtins",
"Callee","calendar (module)","calendar._localized_day.__init__",2,0.00,0.00,0.00,0.00,"calendar.py",
"Callee","calendar (module)","calendar._localized_month.__init__",2,0.00,0.00,0.00,0.00,"calendar.py",
"Callee","calendar (module)","calendar.Calendar.__init__",1,0.00,0.00,0.05,0.05,"calendar.py",
"Callee","calendar (module)","datetime.date.toordinal",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","calendar._localized_day","calendar._localized_day",1,0.00,0.00,0.07,0.06,"calendar.py",
"Caller","calendar._localized_day","__build_class__",1,0.00,0.00,0.07,0.06,"builtins",
"Callee","calendar._localized_day","calendar.<listcomp>",1,0.00,0.00,0.01,0.01,"calendar.py",
"Root","calendar._localized_day.__init__","calendar._localized_day.__init__",2,0.00,0.00,0.00,0.00,"calendar.py",
"Caller","calendar._localized_day.__init__","calendar (module)",2,0.00,0.00,0.00,0.00,"calendar.py",
"Root","calendar._localized_month","calendar._localized_month",1,0.00,0.00,0.07,0.05,"calendar.py",
"Caller","calendar._localized_month","__build_class__",1,0.00,0.00,0.07,0.05,"builtins",
"Callee","calendar._localized_month","calendar.<listcomp>",1,0.00,0.00,0.01,0.01,"calendar.py",
"Callee","calendar._localized_month","list.insert",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","calendar._localized_month.__init__","calendar._localized_month.__init__",2,0.00,0.00,0.00,0.00,"calendar.py",
"Caller","calendar._localized_month.__init__","calendar (module)",2,0.00,0.00,0.00,0.00,"calendar.py",
"Root","calendar.<listcomp>","calendar.<listcomp>",1,0.00,0.00,0.01,0.01,"calendar.py",
"Caller","calendar.<listcomp>","calendar._localized_month",1,0.00,0.00,0.01,0.01,"calendar.py",
"Root","calendar.<listcomp>","calendar.<listcomp>",1,0.00,0.00,0.01,0.01,"calendar.py",
"Caller","calendar.<listcomp>","calendar._localized_day",1,0.00,0.00,0.01,0.01,"calendar.py",
"Root","calendar.Calendar","calendar.Calendar",1,0.00,0.00,0.01,0.01,"calendar.py",
"Caller","calendar.Calendar","__build_class__",1,0.00,0.00,0.01,0.01,"builtins",
"Root","calendar.Calendar.__init__","calendar.Calendar.__init__",1,0.00,0.00,0.05,0.05,"calendar.py",
"Caller","calendar.Calendar.__init__","calendar (module)",1,0.00,0.00,0.05,0.05,"calendar.py",
"Callee","calendar.Calendar.__init__","calendar.Calendar.setfirstweekday",1,0.00,0.00,0.00,0.00,"calendar.py",
"Root","calendar.Calendar.setfirstweekday","calendar.Calendar.setfirstweekday",1,0.00,0.00,0.00,0.00,"calendar.py",
"Caller","calendar.Calendar.setfirstweekday","calendar.Calendar.__init__",1,0.00,0.00,0.00,0.00,"calendar.py",
"Root","calendar.different_locale","calendar.different_locale",1,0.00,0.00,0.00,0.00,"calendar.py",
"Caller","calendar.different_locale","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root","calendar.HTMLCalendar","calendar.HTMLCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"Caller","calendar.HTMLCalendar","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root","calendar.IllegalMonthError","calendar.IllegalMonthError",1,0.00,0.00,0.00,0.00,"calendar.py",
"Caller","calendar.IllegalMonthError","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root","calendar.IllegalWeekdayError","calendar.IllegalWeekdayError",1,0.00,0.00,0.00,0.00,"calendar.py",
"Caller","calendar.IllegalWeekdayError","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root","calendar.LocaleHTMLCalendar","calendar.LocaleHTMLCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"Caller","calendar.LocaleHTMLCalendar","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root","calendar.LocaleTextCalendar","calendar.LocaleTextCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"Caller","calendar.LocaleTextCalendar","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root","calendar.TextCalendar","calendar.TextCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"Caller","calendar.TextCalendar","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root","callable","callable",6,0.00,0.00,0.00,0.00,"builtins",
"Caller","callable","copyreg.constructor",3,0.00,0.00,0.00,0.00,"copyreg.py",
"Caller","callable","copyreg.pickle",3,0.00,0.00,0.00,0.00,"copyreg.py",
"Root","chr","chr",324,0.00,0.00,0.00,0.00,"builtins",
"Caller","chr","email.quoprimime (module)",162,0.00,0.00,0.00,0.00,"quoprimime.py",
"Caller","chr","sre_parse.__next",42,0.00,0.00,0.00,0.00,"sre_parse.py",
"Caller","chr","zipfile.ZipInfo.__init__",120,0.00,0.00,0.00,0.00,"zipfile.py",
"Root","Clock.tick","Clock.tick","7,907",54.88,54.88,9.37,9.37,"Unidentifiable Method",
"Caller","Clock.tick","racing-game-fixed.Game.loop","7,907",54.88,54.88,9.37,9.37,"racing-game-fixed.py",
"Root","collections.<genexpr>","collections.<genexpr>",26,0.00,0.00,0.00,0.00,"collections.py",
"Caller","collections.<genexpr>","str.join",26,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","collections.<genexpr>","str.format",21,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","collections.<genexpr>","collections.<genexpr>",26,0.00,0.00,0.00,0.00,"collections.py",
"Caller","collections.<genexpr>","str.join",26,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","collections.<genexpr>","str.format",21,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","collections.<genexpr>","collections.<genexpr>",195,0.00,0.00,0.00,0.00,"collections.py",
"Caller","collections.<genexpr>","all",195,0.00,0.00,0.00,0.00,"builtins",
"Callee","collections.<genexpr>","str.isalnum",169,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","collections.namedtuple","collections.namedtuple",5,0.01,0.00,2.52,0.03,"collections.py",
"Caller","collections.namedtuple",".MemoizedZipManifests",1,0.01,0.00,7.44,0.03,"__init__.py",
"Caller","collections.namedtuple","urllib.parse (module)",3,0.00,0.00,1.30,0.03,"parse.py",
"Caller","collections.namedtuple","version (module)",1,0.00,0.00,1.24,0.04,"version.py",
"Callee","collections.namedtuple","all",26,0.00,0.00,0.00,0.00,"builtins",
"Callee","collections.namedtuple","dict.get",5,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","collections.namedtuple","exec",5,0.01,0.01,2.40,2.02,"builtins",
"Callee","collections.namedtuple","frozenset.__contains__",26,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","collections.namedtuple","isinstance",5,0.00,0.00,0.00,0.00,"builtins",
"Callee","collections.namedtuple","len",5,0.00,0.00,0.00,0.00,"builtins",
"Callee","collections.namedtuple","repr",5,0.00,0.00,0.00,0.00,"builtins",
"Callee","collections.namedtuple","set.add",21,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","collections.namedtuple","str.format",5,0.00,0.00,0.01,0.01,"Unidentifiable Method",
"Callee","collections.namedtuple","str.isdigit",26,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","collections.namedtuple","str.join",10,0.00,0.00,0.02,0.01,"Unidentifiable Method",
"Callee","collections.namedtuple","str.replace",9,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","collections.namedtuple","str.split",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","collections.namedtuple","str.startswith",21,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","collections.namedtuple","sys._getframe",5,0.00,0.00,0.00,0.00,"sys",
"Root","collections.OrderedDict.__init__","collections.OrderedDict.__init__",1,0.00,0.00,0.59,0.07,"collections.py",
"Caller","collections.OrderedDict.__init__","functools.decorating_function",1,0.00,0.00,0.59,0.07,"functools.py",
"Callee","collections.OrderedDict.__init__","_abcoll.update",1,0.00,0.00,0.53,0.00,"_abcoll.py",
"Callee","collections.OrderedDict.__init__","_weakref.proxy",1,0.00,0.00,0.00,0.00,"_weakref",
"Callee","collections.OrderedDict.__init__","len",1,0.00,0.00,0.00,0.00,"builtins",
"Root","Constants (module)","Constants (module)",1,0.00,0.00,0.00,0.00,"Constants.py",
"Caller","Constants (module)","racing-game-fixed (module)",1,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"Root","copy (module)","copy (module)",1,0.00,0.00,4.28,4.12,"copy.py",
"Caller","copy (module)","tarfile (module)",1,0.00,0.00,4.28,4.12,"tarfile.py",
"Callee","copy (module)","__build_class__",2,0.00,0.00,0.08,0.08,"builtins",
"Callee","copy (module)","getattr",3,0.00,0.00,0.00,0.00,"builtins",
"Root","copy._EmptyClass","copy._EmptyClass",1,0.00,0.00,0.00,0.00,"copy.py",
"Caller","copy._EmptyClass","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root","copy.Error","copy.Error",1,0.00,0.00,0.00,0.00,"copy.py",
"Caller","copy.Error","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root","copyreg.constructor","copyreg.constructor",3,0.00,0.00,0.00,0.00,"copyreg.py",
"Caller","copyreg.constructor","copyreg.pickle",3,0.00,0.00,0.00,0.00,"copyreg.py",
"Callee","copyreg.constructor","callable",3,0.00,0.00,0.00,0.00,"builtins",
"Root","copyreg.pickle","copyreg.pickle",3,0.00,0.00,0.02,0.02,"copyreg.py",
"Caller","copyreg.pickle"," (module)",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","copyreg.pickle","pygame (module)",2,0.00,0.00,0.03,0.02,"__init__.py",
"Callee","copyreg.pickle","callable",3,0.00,0.00,0.00,0.00,"builtins",
"Callee","copyreg.pickle","copyreg.constructor",3,0.00,0.00,0.00,0.00,"copyreg.py",
"Root","datetime (module)","datetime (module)",1,0.00,0.00,1.48,0.49,"datetime.py",
"Caller","datetime (module)","plistlib (module)",1,0.00,0.00,1.48,0.49,"plistlib.py",
"Callee","datetime (module)","__build_class__",6,0.00,0.00,0.11,0.07,"builtins",
"Callee","datetime (module)","datetime.__new__",7,0.00,0.00,0.01,0.01,"datetime.py",
"Callee","datetime (module)","datetime.__new__",2,0.00,0.00,0.06,0.02,"datetime.py",
"Callee","datetime (module)","datetime.__new__",2,0.00,0.00,0.05,0.04,"datetime.py",
"Callee","datetime (module)","datetime.__new__",2,0.00,0.00,0.01,0.00,"datetime.py",
"Callee","datetime (module)","datetime._create",3,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","datetime (module)","datetime._days_before_year",3,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","datetime (module)","list.append",12,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","datetime.__new__","datetime.__new__",9,0.00,0.00,0.01,0.01,"datetime.py",
"Caller","datetime.__new__","datetime (module)",7,0.00,0.00,0.01,0.01,"datetime.py",
"Caller","datetime.__new__","datetime.timedelta.__neg__",1,0.00,0.00,0.01,0.01,"datetime.py",
"Caller","datetime.__new__","datetime.timezone",1,0.00,0.00,0.01,0.01,"datetime.py",
"Callee","datetime.__new__","abs",81,0.00,0.00,0.00,0.00,"builtins",
"Callee","datetime.__new__","divmod",45,0.00,0.00,0.00,0.00,"builtins",
"Callee","datetime.__new__","isinstance",126,0.00,0.00,0.00,0.00,"builtins",
"Callee","datetime.__new__","round",9,0.00,0.00,0.00,0.00,"builtins",
"Callee","datetime.__new__","type.__new__",9,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","datetime.__new__","datetime.__new__",2,0.00,0.00,0.01,0.00,"datetime.py",
"Caller","datetime.__new__","datetime (module)",2,0.00,0.00,0.01,0.00,"datetime.py",
"Callee","datetime.__new__","datetime.__new__",2,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","datetime.__new__","datetime._check_time_fields",2,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","datetime.__new__","datetime._check_tzinfo_arg",2,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","datetime.__new__","isinstance",2,0.00,0.00,0.00,0.00,"builtins",
"Root","datetime.__new__","datetime.__new__",4,0.00,0.00,0.03,0.01,"datetime.py",
"Caller","datetime.__new__","datetime (module)",2,0.00,0.00,0.06,0.02,"datetime.py",
"Caller","datetime.__new__","datetime.__new__",2,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","datetime.__new__","datetime._check_date_fields",4,0.00,0.00,0.02,0.02,"datetime.py",
"Callee","datetime.__new__","isinstance",4,0.00,0.00,0.00,0.00,"builtins",
"Callee","datetime.__new__","type.__new__",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","datetime.__new__","datetime.__new__",2,0.00,0.00,0.05,0.04,"datetime.py",
"Caller","datetime.__new__","datetime (module)",2,0.00,0.00,0.05,0.04,"datetime.py",
"Callee","datetime.__new__","datetime._check_time_fields",2,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","datetime.__new__","datetime._check_tzinfo_arg",2,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","datetime.__new__","isinstance",2,0.00,0.00,0.00,0.00,"builtins",
"Callee","datetime.__new__","type.__new__",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","datetime._check_date_fields","datetime._check_date_fields",4,0.00,0.00,0.02,0.02,"datetime.py",
"Caller","datetime._check_date_fields","datetime.__new__",4,0.00,0.00,0.02,0.02,"datetime.py",
"Callee","datetime._check_date_fields","datetime._days_in_month",4,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","datetime._check_date_fields","isinstance",4,0.00,0.00,0.00,0.00,"builtins",
"Root","datetime._check_time_fields","datetime._check_time_fields",4,0.00,0.00,0.00,0.00,"datetime.py",
"Caller","datetime._check_time_fields","datetime.__new__",2,0.00,0.00,0.00,0.00,"datetime.py",
"Caller","datetime._check_time_fields","datetime.__new__",2,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","datetime._check_time_fields","isinstance",4,0.00,0.00,0.00,0.00,"builtins",
"Root","datetime._check_tzinfo_arg","datetime._check_tzinfo_arg",4,0.00,0.00,0.00,0.00,"datetime.py",
"Caller","datetime._check_tzinfo_arg","datetime.__new__",2,0.00,0.00,0.00,0.00,"datetime.py",
"Caller","datetime._check_tzinfo_arg","datetime.__new__",2,0.00,0.00,0.00,0.00,"datetime.py",
"Root","datetime._create","datetime._create",3,0.00,0.00,0.00,0.00,"datetime.py",
"Caller","datetime._create","datetime (module)",3,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","datetime._create","type.__new__",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","datetime._days_before_year","datetime._days_before_year",3,0.00,0.00,0.00,0.00,"datetime.py",
"Caller","datetime._days_before_year","datetime (module)",3,0.00,0.00,0.00,0.00,"datetime.py",
"Root","datetime._days_in_month","datetime._days_in_month",4,0.00,0.00,0.00,0.00,"datetime.py",
"Caller","datetime._days_in_month","datetime._check_date_fields",4,0.00,0.00,0.00,0.00,"datetime.py",
"Root","datetime.date","datetime.date",1,0.00,0.00,0.01,0.01,"datetime.py",
"Caller","datetime.date","__build_class__",1,0.00,0.00,0.01,0.01,"builtins",
"Root","datetime.date.toordinal","datetime.date.toordinal",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Caller","datetime.date.toordinal","calendar (module)",1,0.00,0.00,0.00,0.00,"calendar.py",
"Root","datetime.datetime","datetime.datetime",1,0.00,0.00,0.01,0.01,"datetime.py",
"Caller","datetime.datetime","__build_class__",1,0.00,0.00,0.01,0.01,"builtins",
"Root","datetime.time","datetime.time",1,0.00,0.00,0.01,0.01,"datetime.py",
"Caller","datetime.time","__build_class__",1,0.00,0.00,0.01,0.01,"builtins",
"Root","datetime.timedelta","datetime.timedelta",1,0.00,0.00,0.09,0.09,"datetime.py",
"Caller","datetime.timedelta","__build_class__",1,0.00,0.00,0.09,0.09,"builtins",
"Root","datetime.timedelta.__neg__","datetime.timedelta.__neg__",1,0.00,0.00,0.02,0.00,"datetime.py",
"Caller","datetime.timedelta.__neg__","datetime.timezone",1,0.00,0.00,0.02,0.00,"datetime.py",
"Callee","datetime.timedelta.__neg__","datetime.__new__",1,0.00,0.00,0.01,0.01,"datetime.py",
"Root","datetime.timezone","datetime.timezone",1,0.00,0.00,0.09,0.06,"datetime.py",
"Caller","datetime.timezone","__build_class__",1,0.00,0.00,0.09,0.06,"builtins",
"Callee","datetime.timezone","datetime.__new__",1,0.00,0.00,0.01,0.01,"datetime.py",
"Callee","datetime.timezone","datetime.timedelta.__neg__",1,0.00,0.00,0.02,0.00,"datetime.py",
"Root","datetime.tzinfo","datetime.tzinfo",1,0.00,0.00,0.00,0.00,"datetime.py",
"Caller","datetime.tzinfo","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root","DefaultProvider._has","DefaultProvider._has",1,0.00,0.00,0.13,0.05,"__init__.py",
"Caller","DefaultProvider._has","NullProvider.has_resource",1,0.00,0.00,0.13,0.05,"__init__.py",
"Callee","DefaultProvider._has","genericpath.exists",1,0.00,0.00,0.08,0.00,"genericpath.py",
"Root","DefaultProvider.get_resource_stream","DefaultProvider.get_resource_stream",1,0.00,0.00,0.09,0.00,"__init__.py",
"Caller","DefaultProvider.get_resource_stream","ResourceManager.resource_stream",1,0.00,0.00,0.09,0.00,"__init__.py",
"Callee","DefaultProvider.get_resource_stream","io.open",1,0.00,0.00,0.08,0.08,"io",
"Callee","DefaultProvider.get_resource_stream","NullProvider._fn",1,0.00,0.00,0.01,0.00,"__init__.py",
"Root","dict.copy","dict.copy",1,0.00,0.00,0.01,0.01,"Unidentifiable Method",
"Caller","dict.copy","email.quoprimime (module)",1,0.00,0.00,0.01,0.01,"quoprimime.py",
"Root","dict.get","dict.get",617,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Caller","dict.get",".fixup_namespace_packages",4,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","dict.get","collections.namedtuple",5,0.00,0.00,0.00,0.00,"collections.py",
"Caller","dict.get","email.charset.Charset.__init__",10,0.00,0.00,0.00,0.00,"charset.py",
"Caller","dict.get","sre_compile._compile",27,0.00,0.00,0.00,0.00,"sre_compile.py",
"Caller","dict.get","sre_parse._class_escape",226,0.00,0.00,0.00,0.00,"sre_parse.py",
"Caller","dict.get","sre_parse._escape",180,0.00,0.00,0.00,0.00,"sre_parse.py",
"Caller","dict.get","sre_parse.Pattern.opengroup",45,0.00,0.00,0.00,0.00,"sre_parse.py",
"Caller","dict.get","zipfile.ZipFile.getinfo",120,0.00,0.00,0.00,0.00,"zipfile.py",
"Root","dict.items","dict.items",68,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Caller","dict.items","_abcoll.update",1,0.00,0.00,0.00,0.00,"_abcoll.py",
"Caller","dict.items","_compat_pickle (module)",2,0.00,0.00,0.00,0.00,"_compat_pickle.py",
"Caller","dict.items","abc.__new__",7,0.00,0.00,0.00,0.00,"abc.py",
"Caller","dict.items","base64 (module)",2,0.00,0.00,0.00,0.00,"base64.py",
"Caller","dict.items","multiprocessing.process (module)",1,0.00,0.00,0.00,0.00,"process.py",
"Caller","dict.items","sre_compile.compile",54,0.00,0.00,0.00,0.00,"sre_compile.py",
"Caller","dict.items","symbol (module)",1,0.00,0.00,0.00,0.00,"symbol.py",
"Root","dict.setdefault","dict.setdefault",798,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Caller","dict.setdefault","sre_compile._optimize_unicode",768,0.00,0.00,0.00,0.00,"sre_compile.py",
"Caller","dict.setdefault","WorkingSet.add",16,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","dict.setdefault","WorkingSet.add_entry",14,0.00,0.00,0.00,0.00,"__init__.py",
"Root","dict.update","dict.update",17,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Caller","dict.update","._declare_state",8,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","dict.update","._initialize_master_working_set",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","dict.update","functools.update_wrapper",8,0.00,0.00,0.00,0.00,"functools.py",
"Root","dir","dir",4,0.00,0.00,0.03,0.03,"builtins",
"Caller","dir","._initialize",1,0.00,0.00,0.03,0.03,"__init__.py",
"Caller","dir","os._get_exports_list",1,0.00,0.00,0.04,0.04,"os.py",
"Caller","dir","pickle (module)",1,0.00,0.00,0.02,0.02,"pickle.py",
"Caller","dir","pygame.sprite (module)",1,0.00,0.00,0.03,0.03,"sprite.py",
"Root","Distribution.__getattr__","Distribution.__getattr__",12,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","Distribution.__getattr__",".key",8,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","Distribution.__getattr__","Distribution._get_metadata",4,0.00,0.00,0.00,0.00,"__init__.py",
"Callee","Distribution.__getattr__","getattr",4,0.00,0.00,0.00,0.00,"builtins",
"Callee","Distribution.__getattr__","str.startswith",12,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","Distribution.__init__","Distribution.__init__",8,0.00,0.00,0.17,0.01,"__init__.py",
"Caller","Distribution.__init__",".from_location",8,0.00,0.00,0.17,0.01,"__init__.py",
"Callee","Distribution.__init__",".safe_name",8,0.00,0.00,0.03,0.01,"__init__.py",
"Callee","Distribution.__init__",".safe_version",6,0.00,0.00,0.16,0.01,"__init__.py",
"Root","Distribution._get_metadata","Distribution._get_metadata",4,0.00,0.00,0.14,0.01,"__init__.py",
"Caller","Distribution._get_metadata","Distribution.activate",4,0.00,0.00,0.14,0.01,"__init__.py",
"Callee","Distribution._get_metadata","Distribution.__getattr__",4,0.00,0.00,0.00,0.00,"__init__.py",
"Callee","Distribution._get_metadata","FileMetadata.has_metadata",3,0.00,0.00,0.00,0.00,"__init__.py",
"Callee","Distribution._get_metadata","NullProvider.has_metadata",1,0.00,0.00,0.49,0.00,"__init__.py",
"Root","Distribution.activate","Distribution.activate",4,0.00,0.00,0.22,0.02,"__init__.py",
"Caller","Distribution.activate",".<lambda>",4,0.00,0.00,0.22,0.02,"__init__.py",
"Callee","Distribution.activate",".fixup_namespace_packages",4,0.00,0.00,0.00,0.00,"__init__.py",
"Callee","Distribution.activate","Distribution._get_metadata",4,0.00,0.00,0.14,0.01,"__init__.py",
"Callee","Distribution.activate","Distribution.insert_on",4,0.00,0.00,0.06,0.02,"__init__.py",
"Root","Distribution.insert_on","Distribution.insert_on",4,0.00,0.00,0.06,0.02,"__init__.py",
"Caller","Distribution.insert_on","Distribution.activate",4,0.00,0.00,0.06,0.02,"__init__.py",
"Callee","Distribution.insert_on","._normalize_cached",4,0.00,0.00,0.02,0.00,"__init__.py",
"Callee","Distribution.insert_on",".<listcomp>",4,0.00,0.00,0.01,0.00,"__init__.py",
"Callee","Distribution.insert_on","list.index",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","Distribution.insert_on","ntpath.dirname",4,0.00,0.00,0.01,0.00,"ntpath.py",
"Root","divmod","divmod",45,0.00,0.00,0.00,0.00,"builtins",
"Caller","divmod","datetime.__new__",45,0.00,0.00,0.00,0.00,"datetime.py",
"Root","EggMetadata.__init__","EggMetadata.__init__",2,0.00,0.00,0.18,0.01,"__init__.py",
"Caller","EggMetadata.__init__",".find_eggs_in_zip",2,0.00,0.00,0.18,0.01,"__init__.py",
"Callee","EggMetadata.__init__","EggProvider._setup_prefix",2,0.00,0.00,0.17,0.06,"__init__.py",
"Root","EggProvider.__init__","EggProvider.__init__",2,0.00,0.00,0.07,0.01,"__init__.py",
"Caller","EggProvider.__init__",".get_provider",2,0.00,0.00,0.07,0.01,"__init__.py",
"Callee","EggProvider.__init__","EggProvider._setup_prefix",2,0.00,0.00,0.04,0.00,"__init__.py",
"Callee","EggProvider.__init__","NullProvider.__init__",2,0.00,0.00,0.02,0.00,"__init__.py",
"Root","EggProvider._setup_prefix","EggProvider._setup_prefix",4,0.00,0.00,0.10,0.03,"__init__.py",
"Caller","EggProvider._setup_prefix","EggMetadata.__init__",2,0.00,0.00,0.17,0.06,"__init__.py",
"Caller","EggProvider._setup_prefix","EggProvider.__init__",2,0.00,0.00,0.04,0.00,"__init__.py",
"Callee","EggProvider._setup_prefix","ntpath.basename",2,0.00,0.00,0.07,0.02,"ntpath.py",
"Callee","EggProvider._setup_prefix","ntpath.join",2,0.00,0.00,0.03,0.02,"ntpath.py",
"Callee","EggProvider._setup_prefix","ntpath.split",10,0.00,0.00,0.01,0.00,"ntpath.py",
"Callee","EggProvider._setup_prefix","str.endswith",12,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","EggProvider._setup_prefix","str.lower",12,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","email (module)","email (module)",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","email (module)"," (module)",1,0.00,0.00,0.00,0.00,"__init__.py",
"Root","email._parseaddr (module)","email._parseaddr (module)",1,0.00,0.00,5.04,3.70,"_parseaddr.py",
"Caller","email._parseaddr (module)","email.utils (module)",1,0.00,0.00,5.04,3.70,"utils.py",
"Callee","email._parseaddr (module)","__build_class__",2,0.00,0.00,0.13,0.13,"builtins",
"Callee","email._parseaddr (module)","calendar (module)",1,0.00,0.00,1.08,0.19,"calendar.py",
"Root","email._parseaddr.AddressList","email._parseaddr.AddressList",1,0.00,0.00,0.00,0.00,"_parseaddr.py",
"Caller","email._parseaddr.AddressList","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
