Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,
"Process",0,13736,"python.exe",0.00,"139,645.69","139,645.69",
"Thread",0,10548,"Unnamed thread",0.09,"139,644.23","139,644.14",
